"winery" "address" "city" "app" "lat" "lon"
"Acacia Winery" "2750 Las Amigas Road" "Napa" "Yes" 38.2306038 -122.3487628
"Allora Wines" "3244 Elhlers Lane" "St. Helena" "Yes" 38.536305 -122.493788
"Alpha Omega Winery" "Hwy 29 at 1155 Mee Lane " "Rutherford" "No" 38.4703274 -122.4312328
"Altamura Vineyards & Winery" "1700 Wooden Valley Road" "Napa" "Yes" 38.3643612 -122.1750562
"Amethyst Winery" "1339 Pearl St. Suite #201" "Napa" "Yes" 38.298905 -122.289472
"Amizetta" "1099 Greenfield Rd" "St. Helena" "Yes" 38.521258 -122.380629
"Ancien Wines" "4047 E. Third Ave" "Napa" "Yes" 38.298408 -122.235013
"Anderson's Conn Valley" "680 Rossi Road" "St. Helena" "Yes" 38.5149593 -122.4128899
"Andesite Vineyard" "4011 Spring Mountain Road" "St. Helena" "Yes" 38.521744 -122.54588
"Andretti Winery" "4162 Big Ranch Road " "Napa" "No" 38.3547481 -122.3075097
"Andrew Geoffrey Vineyard" "836 Chiles Avenue" "St. Helena" "Yes" 38.506653 -122.465838
"Andrew Lane Winery" "742 Sunnyside Road" "St. Helena" "Yes" 38.538714 -122.466084
"Artesa Winery" "1345 Henry Road " "Napa" "No" 38.2694716 -122.3569655
"Atalon Winery" "3299 Bennett Lane " "Calistoga" "Yes" 38.5994878 -122.6103647
"Atlas Peak" "3700 Soda Canyon Road " "Napa" "Yes" 38.417014 -122.285308
"August Briggs" "1307-B Lincoln Avenue" "Calistoga" "No" 38.5775125 -122.5796952
"Baldacci Vineyards" "6236 Silverado Trail" "Yountville" "No" 38.4208483 -122.3379758
"Ballentine Vineyards" "2820 St. Helena Highway N" "St. Helena" "No" 38.520685 -122.490134
"Barlow Vineyards" "4411 Silverado Trail " "Calistoga" "Yes" 38.5764764 -122.5385983
"Barnett Vineyards" "4070 Spring Mountain Road " "St. Helena" "Yes" 38.533235 -122.552946
"Beaulieu Vineyard (BV)" "1960 St. Helena Highway " "Rutherford" "No" 38.4596674 -122.4236112
"Bell Wine Cellars" "6200 Washington Street" "Yountville" "Yes" 38.3885161 -122.3464247
"Bello Family Vineyards" "929 Main Street" "St. Helena" "No" 38.5014323 -122.4649275
